Id,Name,Description,Tel,Add,Zipcode,Opentime,Map,Px,Py,Class,Website,Parkinginfo,Changetime
E3_382000000A_208174,The Red Castle,"Coffee and Fine Dining in a Colonial BuildingThe Red Castle is over 100 years old. It was built in 1899 and used to belong to shipping company millionaire Yi Lee. In 2000, it was refitted to become a restaurant. The exterior is built with red bricks and arched corridors. This is the building’s unique structure.",886-2-86311168,"6 2nd Alley, Sanmin Street, Tamsui District, , Tamsui Dist., New Taipei City Taiwán, R.O.C",251,12:00 - 20:00 / Weekend 11:00 - 21:00,,121.43941,25.17114,09,,,25/7/2020 15:11
E3_382000000A_208270,Feng Hua Restaurant,"With clean and quiet environment, modern and Zen style, the restaurant mainly offers Jiangsu and Zhejiang Cuisine. The famous food are Baked Shallot Chop, Wuxi Chop, Radish Beef and others. You would never want to miss the surprised daily cold meats.",886-2-82529789,"No.209, Sec. 2, Shuangshi Rd., ,  220, Taiwan, Banqiao Dist., New Taipei City Taiwán, R.O.C",220,11:30-14:00、17:30-21:00,,121.4731,25.02888,09,,,11/6/2019 15:36
E3_382000000A_208271,Hong Kong Chen's gruel and noodle.,"Standard Hong Kong style gruel, boil with smal fire for more than 4 hours until the rice becomes soft, and more than 10 kinds of tastes You may enjoy every minute as you eat.","886-2-29215595,886981065813","No.46, Zhulin Rd., ,  234, Taiwan, Yonghe Dist., New Taipei City Taiwán, R.O.C",234,11:00~14:00 17:00~20:30 cloesd on Wed.,,121.51759,25.01424,09,,,25/6/2018 11:14
E3_382000000A_208285,Zhening Jia Garden Restaurant,The owner has over 30 years of experience preparing authentic Zhejiang and Ningbo dishes. His expertise creates delicious dishes that one will always remember.,886-2-26363131,"No.70, Sec. 1, Zhongshan Rd., ,  252, Taiwan, Sanzhi Dist., New Taipei City Taiwán, R.O.C",252,Wed. - Sun.11:00~14:00 17:00~21:00 closed on Mon. and Tue.,,121.50397,25.25784,09,,,11/6/2019 17:22
E3_382000000A_208464,Fu Zhou Lin Pepper Bun,"Legend has it that Fu Zhou China's ""Green onion meat bun"" is actually the ancestor of Taiwan's famous pepper bun, and that explains why Taiwan's pepper buns are filled with large quantities of green onions.",886-2-24968372,"Minsheng St. (inside the Food Street), Ruifang Dist., New Taipei City Taiwán, R.O.C",224,10:30 ~ 19:00 (bi-weekly Tuesday Closed),,121.80563,25.10683,09,,,27/10/2021 14:21
E3_382000000A_402751,China Spice,Serving traditional Jiang-Nan and a perfect mixture with local cuisine using only the freshest product to produce a mix of indulgent authentic favourites as well as exciting Chinese fusion dishes.,886-2-77276988,"2nd Floor, No. 1 Section, Wenhua 3rd Road, Linkou District, , Linkou Dist., New Taipei City Taiwán, R.O.C",244,11:30 - 14:00 、17:30 - 21:00,,121.36088,25.06609,09,,,7/10/2021 19:55
E3_382000000A_208160,Weng Meiyu Malt,"The molasses melts in your mouth and the sugary malt aroma holds on the palate for a long time, bringing back childhood memories with the candy. The boss of Weng Meiyu uses traditional method to  create  each  and  every  batch.","886-2-29923886,886229928239","Number 128 Sinjhuang Road, , New Taipei, Xinzhuang Dist., New Taipei City Taiwán, R.O.C",242,Mon. - Fri. 08:30~17:00 Sat.8:30-12:00,,121.45571,25.03581,09,,,9/11/2019 16:33
E3_382000000A_208224,Osmanthus Farm,"Special Recommendations: Preserved Osmanthus Petals in Ice Sugar, Lotus Root in Preserved Sweet Osmanthus Petals",886-2-26634011,"No.4, Xinxingkeng, , , Shiding Dist., New Taipei City Taiwán, R.O.C",223,The shop is closed on Monday. / Tue. ~ Fri.11:00-18:00 / Weekend 11:00-20:00,,121.65361,25.01671,09,,,7/10/2021 10:50
E3_382000000A_208316,Sanzhi Pigs Light Meal Restaurant,"Sanzhi Pigs ran from Sanzhi to Shimen, with cute pig bottoms on the counters. You can also find popular freshly baked cheesecake and toast here.",886-2-26380130,"No.58-8, Kanzijiao, ,  253, Taiwan, Shimen Dist., New Taipei City Taiwán, R.O.C",253,Mon. - Fri.11:00~19:00  Weekend 11:00~18:00,,121.53071,25.28672,09,,,30/5/2022 14:01
E3_382000000A_208323,Jiuliaopo Ranch green tea rice,"To taste this dish, you need to add green tea seed oil into freshly made rice and blend well. The taste has a tea fragrance and it is not greasy.",886-2-26631886,"No.226, Sec. 1, Dingping Rd., Shihding Dist.,  22342, Taiwan , Shiding Dist., New Taipei City Taiwán, R.O.C",223,11:00-20:00 /The shop is closed on Wednesday.,,121.67461,24.98081,09,,,25/7/2020 11:55
