name,category,location,rating,services
 64 opiniones,wedding venue, Barcelona,Canyelles,wedding venue
 134 opiniones,wedding venue, Barcelona,Sant Cugat Del Valles,wedding venue
 2 opiniones,wedding venue, Barcelona,Cabrera De Mar,wedding venue
Deep-sea squid,catering,"No 26, Duchuantou St., ,  249, Taiwan, Bali Dist., New Taipei City Taiwán, R.O.C",0,"The golden fried big squid is crispy and served with special sauces, mayonnaise and mustard, with a topping of dried bonito flakes. It tastes light and not greasy at all."
 179 opiniones,wedding venue, Barcelona,Terrassa,wedding venue
Other Park Locations:  Bayswater Road Park,event venue,23.65235611,0,event venue
Fawkner Park:  FP - Lawn 21_T8_S3,event venue,0.0,0,event venue
 36 opiniones,wedding venue, Barcelona,Casserres,wedding venue
 195 opiniones,wedding venue, Barcelona,Sant Marti De Tous,wedding venue
Restaurante la Gran Via,restaurant,Venustiano Carranza 560 Centro,high,restaurant and food services
 120 opiniones,wedding venue, Barcelona,Sant Quirze Safaja,wedding venue
Carlton Gardens:  CG - Lawn 21,event venue,0.0,0,event venue
 6 opiniones,wedding venue, Barcelona,La Quar,wedding venue
Cardona,wedding venue,, Barcelona,wedding venue
 159 opiniones,wedding venue, Barcelona,Sant Boi De Llobregat,wedding venue
 7 opiniones,wedding venue,,Barcelona,wedding venue
Laoshu Restaurant,catering,"12, Lane 290, Section 3, Xinwu Road, Wulai District, , Xindian Dist., New Taipei City Taiwán, R.O.C",0,"The highly recommended restaurant by ""netizens"" does not have a menu. Customers order their food from suggestions given by the owner. Popular dishes include fish head  casserole, fried pork and rock shrimp. Visitors are advised to go to the restaurant in a group because it is easier to order different dishes, which are served in very generous portions."
Miners Café & Restaurant,catering,"No.8-1, Jinguang Rd., ,  224, Taiwan, Ruifang Dist., New Taipei City Taiwán, R.O.C",0,"Recommended Productsgold, miner’s boxed lunchDuring the Japanese occupation period, Jinguashi was a mining area under the management of a Japanese company, Kamaishi Mining and Iron Works."
Other Park Locations:  Sturt Street Reserve,event venue,36.46091337,0,event venue
 83 opiniones,wedding venue, Barcelona,Cabrera De Mar,wedding venue
 9 opiniones,wedding venue,1 promoción -10% Descuento,Barcelona,wedding venue
Restaurant Orizatlan,restaurant,Pascual M. Hernandez 240,medium,restaurant and food services
Fawkner Park:  FP - Lawn 17_SB1_SB2_Ct2_S7,event venue,0.0,0,event venue
 27 opiniones,wedding venue, Barcelona,Gava,wedding venue
 13 opiniones,wedding venue, Barcelona,Sant Pere De Ribes,wedding venue
Chilis Cuernavaca,restaurant,Rio Mayo Colonia Vista Hermosa Esq. Rio Balsas,medium,restaurant and food services
 3 opiniones,wedding venue, Barcelona,Montmajor,wedding venue
TACOS EL GUERO,restaurant,?,low,restaurant and food services
 576 opiniones,wedding venue, Barcelona,Sant Fost De Campsentelles,wedding venue
Royal Park:  RP - Lawn 9_Ryder Ct_S1,event venue,0.0,0,event venue
 72 opiniones,wedding venue, Barcelona,Sallent,wedding venue
Holland Park:  HP - Soccer_Cs2_ Synthetic,event venue,0.0,0,event venue
 38 opiniones,wedding venue, Barcelona,Castelldefels,wedding venue
Ah Lan Herbal Glutinous Rice Cake,catering,"No.90, Jishan St., , , Ruifang Dist., New Taipei City Taiwán, R.O.C",0,"When tourists visit Jiufen, not only do they want to try the taro balls, they will definitely want to queue up for Ah Lan's herbal glutinous rice cakes! These cakes are another type of delicious food item representative of Jiufen!"
Lanxiang House,catering,"No. 173 Jishan Street, Ruifang District, , Ruifang Dist., New Taipei City Taiwán, R.O.C",0,"Recommended ProductsWild Red-Core Native Guava, Golden Date, Red Cypress Essential OilPassing by Shanhaiguan Café, a magnificent view come into sight. While enjoying the wide and open scenery of Jiufen, visitors can smell a strong fruit fragrance."
Abondance Restaurante Bar,restaurant,Industrias 908 Valle Dorado,low,restaurant and food services
Treasury Gardens:  TG - Lawn 7,event venue,81.34633198,0,event venue
Fawkner Park:  FP - Lawn 2,event venue,75.91984284,0,event venue
Yeh’s Wonton Restaurant,catering,"177 Zhongzheng Road, Tamsui District, , Tamsui Dist., New Taipei City Taiwán, R.O.C",0,"Jay Chou’s Favorite WontonThere  is  a  restaurant  in Tamsui  that  offers  a vermicelli  dish  that  is famous throughout China and  Hong  Kong — the ""Jay Chou Set"". This is Yeh’s Wonton Restaurant, famous for the thin layer and rich fillings of wontons served with omelet strips, laver and other veggies. The soup is refreshing, and the set comes with a tender marinated fried drumstick."
Five Stars pettitoes rice,catering,"No.119, Sec. 1, Ziqiang Rd., ,  241, Taiwan, Sanchong Dist., New Taipei City Taiwán, R.O.C",0,"For more than 30 years, the restaurant has been known for its specialty, gravy pettitoes, made by inherited secrete formula. The cooking method pays special attention to whether the greasy and fishy smell is removed, and whether the gravy flavor has deeply penetrated into meat."
Misty Cake,catering,"No. 6-1, Sec. 1, Mingdeng Rd., Ruifang District, , Ruifang Dist., New Taipei City Taiwán, R.O.C",0,"Brand Story: Jinguashih in Ruifang was once a major gold mining town. At that time, impoverished miners would have sweet potatoes as the main food to satisfy their hunger. Over the years, the plain and pure flavor has slowly been forgotten by most people. As an effort to rediscover that authentic texture, Misty Cake is borrowing the old-time cooking method and using a puff pastry to wrap..."
 5 opiniones,wedding venue, Barcelona,Montseny,wedding venue
Alexandra Gardens:  AG - Palm Lawn,event venue,90.69921323,0,event venue
Flower fairy cafe',catering,"No.53, Guanhai Bivd., Bali Dist  249, Taiwan, Bali Dist., New Taipei City Taiwán, R.O.C",0,A large painting by Van Gogh hung on the wall will come into your eyes as soon as you enter the cafe decorated with European style. The dishes offered are a combination of Taiwan ans European styles. It is a good place for relaxation.
 82 opiniones,wedding venue, Barcelona,Sant Fost De Campsentelles,wedding venue
Restaurante la Parroquia Potosina,restaurant,Venustiano Carranza 303 Centro,high,restaurant and food services
 34 opiniones,wedding venue, Barcelona,Canyelles,wedding venue
 54 opiniones,wedding venue, Barcelona,Puig-reig,wedding venue
Tortas Locas Hipocampo,restaurant,Venustiano Carranza 719 Centro,medium,restaurant and food services
Jiufen Food Quiz Shop,catering,"No. 106, Jishan St., ,  224, Taiwan, Ruifang Dist., New Taipei City Taiwán, R.O.C",0,"Recommended Productsfirst stinky tofu shop in Jiufen, bamboo rice, Taiwanese proverbsJiufen Food Quiz Shop was the first stinky tofu shop ever in Jiufen. Dozens of Taiwanese proverbs are posted on the walls as a way for customers to learn more about traditional Taiwanese wisdom."
